"id_counting";"id_nomenclature_media_type";"id_table_location";"title_fr";"media_path";"Auteur";"description_fr"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7463_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7465_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7466_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7467_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7468_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3005;458;4;"Pulchranthus congestus";"static/medias/4/DSCN7469_Pulchranthus congestus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus congestus photographié le ‎11/‎09/‎2017 (Saül, layon Carbet Maïs, avant camp Cariacou)"
3039;458;4;"Pulchranthus variegatus";"static/medias/4/DSCN3196_Pulchranthus variegatus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus variegatus photographié le ‎26/‎07/‎2018 (Saül, layon des Cascades)"
3039;458;4;"Pulchranthus variegatus";"static/medias/4/DSCN3197_Pulchranthus variegatus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus variegatus photographié le ‎26/‎07/‎2018 (Saül, layon des Cascades)"
3039;458;4;"Pulchranthus variegatus";"static/medias/4/DSCN3198_Pulchranthus variegatus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus variegatus photographié le ‎26/‎07/‎2018 (Saül, layon des Cascades)"
3039;458;4;"Pulchranthus variegatus";"static/medias/4/DSCN3199_Pulchranthus variegatus_SebastienSant.jpg";"S. Sant (PAG)";"Pulchranthus variegatus photographié le ‎26/‎07/‎2018 (Saül, layon des Cascades)"
